datetime,open,high,low,close,volume
2024-11-06,24218.349609375,24257.05078125,24097.94921875,24181.19921875,805500
2024-11-07,24134.0,24194.599609375,23871.849609375,23966.599609375,667100
2024-11-08,23948.5,24037.05078125,23801.55078125,23834.55078125,775800
2024-11-11,23828.69921875,24145.25,23727.849609375,23959.94921875,947800
2024-11-12,24050.69921875,24091.80078125,23486.25,23563.650390625,852600
2024-11-13,23516.19921875,23632.349609375,23053.55078125,23138.400390625,915300
2024-11-14,23100.150390625,23365.099609375,23089.55078125,23200.30078125,685400
2024-11-18,23270.25,23347.900390625,23194.599609375,23257.69921875,709300
2024-11-19,23361.599609375,23466.150390625,23289.849609375,23403.05078125,1244200
2024-11-21,23416.19921875,23426.19921875,23094.849609375,23273.44921875,1380100
2024-11-22,23324.69921875,23673.5,23319.30078125,23623.75,1117100
2024-11-25,24037.650390625,24135.80078125,23931.94921875,24058.69921875,3363400
2024-11-26,24229.75,24229.94921875,23954.0,24046.80078125,679400
2024-11-27,24040.94921875,24201.650390625,24012.5,24171.55078125,766700
2024-11-28,24211.900390625,24378.05078125,23854.69921875,23919.599609375,1207100
2024-11-29,23968.150390625,24035.44921875,23853.5,24010.150390625,849000
2024-12-02,24033.400390625,24101.150390625,23854.80078125,24072.650390625,630100
2024-12-03,24199.5,24347.80078125,24138.75,24296.55078125,986200
2024-12-04,24339.19921875,24615.599609375,24314.099609375,24562.599609375,1062000
2024-12-05,24596.94921875,24874.849609375,24336.0,24731.25,994800
2024-12-06,24731.849609375,24830.849609375,24562.900390625,24703.69921875,801100
2024-12-09,24648.19921875,24856.75,24626.400390625,24722.599609375,698400
2024-12-10,24754.44921875,24838.44921875,24681.400390625,24802.94921875,643600
2024-12-11,24756.099609375,24865.69921875,24696.650390625,24803.05078125,582600
2024-12-12,24717.55078125,24858.19921875,24695.80078125,24726.94921875,576400
2024-12-13,24688.349609375,24911.150390625,24276.69921875,24880.400390625,705000
