datetime,open,high,low,close,volume
2026-02-16 09:15:00,59932.69921875,60266.25,59896.30078125,60195.6484375,0
2026-02-16 09:30:00,60198.3984375,60316.6484375,60194.30078125,60220.94921875,0
2026-02-16 09:45:00,60222.0,60322.1484375,60154.44921875,60304.8984375,0
2026-02-16 10:00:00,60306.6015625,60440.1484375,60302.44921875,60440.1484375,0
2026-02-16 10:15:00,60439.44921875,60471.05078125,60364.3984375,60407.44921875,0
2026-02-16 10:30:00,60412.05078125,60430.30078125,60353.75,60367.05078125,0
2026-02-16 10:45:00,60368.94921875,60435.3984375,60360.1015625,60427.44921875,0
2026-02-16 11:00:00,60430.69921875,60474.44921875,60410.3984375,60429.19921875,0
2026-02-16 11:15:00,60431.3515625,60487.25,60397.3515625,60405.6015625,0
2026-02-16 11:30:00,60407.44921875,60439.1015625,60374.0,60419.1015625,0
2026-02-16 11:45:00,60417.75,60459.19921875,60394.1015625,60459.19921875,0
2026-02-16 12:00:00,60460.6015625,60496.5,60445.30078125,60477.30078125,0
2026-02-16 12:15:00,60478.3515625,60623.3515625,60457.8984375,60622.6015625,0
2026-02-16 12:30:00,60626.8984375,60751.1015625,60625.19921875,60701.3515625,0
2026-02-16 12:45:00,60702.1484375,60715.75,60629.8984375,60650.0,0
2026-02-16 13:00:00,60650.1015625,60733.0,60646.1484375,60703.5,0
2026-02-16 13:15:00,60705.3984375,60733.3515625,60668.3984375,60727.25,0
2026-02-16 13:30:00,60733.69921875,60800.94921875,60691.19921875,60788.8515625,0
2026-02-16 13:45:00,60791.6015625,60807.0,60678.1015625,60726.94921875,0
2026-02-16 14:00:00,60726.0,60789.25,60702.25,60782.80078125,0
2026-02-16 14:15:00,60777.6484375,60833.8984375,60771.6484375,60811.0,0
2026-02-16 14:30:00,60808.75,60848.69921875,60789.1484375,60848.69921875,0
2026-02-16 14:45:00,60848.8515625,60927.8515625,60831.1015625,60910.5,0
2026-02-16 15:00:00,60910.3515625,60988.8984375,60890.19921875,60931.5,0
