datetime,open,high,low,close,volume
2026-01-01 09:15:00,85293.84375,85448.421875,85276.7578125,85301.3515625,0
2026-01-01 10:15:00,85302.6328125,85412.6484375,85172.421875,85365.078125,0
2026-01-01 11:15:00,85362.9765625,85364.6796875,85163.5078125,85181.8828125,0
2026-01-01 12:15:00,85183.859375,85292.2890625,85118.8203125,85269.3984375,0
2026-01-01 13:15:00,85275.46875,85345.390625,85177.1484375,85307.65625,0
2026-01-01 14:15:00,85308.046875,85340.171875,85153.4375,85180.65625,0
2026-01-01 15:15:00,85170.0390625,85210.78125,85170.0390625,85188.6171875,0
2026-01-02 09:15:00,85236.890625,85605.1328125,85106.21875,85543.140625,0
2026-01-02 10:15:00,85543.90625,85582.859375,85481.15625,85505.1484375,0
2026-01-02 11:15:00,85504.5078125,85658.3515625,85503.9765625,85631.7265625,0
2026-01-02 12:15:00,85630.96875,85705.671875,85596.1015625,85657.53125,0
2026-01-02 13:15:00,85657.3515625,85692.71875,85632.2421875,85661.3125,0
2026-01-02 14:15:00,85661.2109375,85775.3984375,85546.796875,85749.703125,0
2026-01-02 15:15:00,85748.21875,85762.0390625,85727.3515625,85762.0390625,0
2026-01-05 09:15:00,85640.4296875,85796.296875,85516.953125,85773.4375,0
2026-01-05 10:15:00,85771.4375,85882.6328125,85752.96875,85816.859375,0
2026-01-05 11:15:00,85817.2109375,85831.84375,85652.6328125,85728.6484375,0
2026-01-05 12:15:00,85731.1328125,85770.3125,85637.1484375,85644.21875,0
2026-01-05 13:15:00,85638.1484375,85664.7578125,85325.78125,85371.0078125,0
2026-01-05 14:15:00,85369.0703125,85562.46875,85315.6328125,85440.2265625,0
2026-01-05 15:15:00,85441.0234375,85482.671875,85439.6171875,85439.6171875,0
2026-01-06 09:15:00,85331.140625,85396.7890625,85024.828125,85301.7734375,0
2026-01-06 10:15:00,85300.9765625,85332.9765625,85119.1015625,85128.3203125,0
2026-01-06 11:15:00,85135.4921875,85152.421875,84958.4921875,85046.71875,0
2026-01-06 12:15:00,85047.1796875,85109.09375,84982.859375,85050.921875,0
2026-01-06 13:15:00,85055.4765625,85062.171875,84900.1015625,84923.3203125,0
2026-01-06 14:15:00,84922.0390625,85093.6875,84905.9765625,85060.046875,0
2026-01-06 15:15:00,85055.3515625,85064.1015625,85048.828125,85063.4921875,0
2026-01-07 09:15:00,84883.6171875,85039.1875,84781.34375,84985.7734375,0
2026-01-07 10:15:00,84991.8203125,85074.9296875,84864.9765625,84979.8828125,0
2026-01-07 11:15:00,84979.390625,85022.9375,84826.7890625,84840.6484375,0
2026-01-07 12:15:00,84840.671875,84857.546875,84728.6015625,84820.640625,0
2026-01-07 13:15:00,84820.9921875,84844.046875,84707.9921875,84826.7890625,0
2026-01-07 14:15:00,84825.3828125,84986.25,84741.53125,84973.5078125,0
2026-01-07 15:15:00,84974.6796875,84974.6796875,84939.453125,84961.1484375,0
2026-01-08 09:15:00,84771.2421875,84963.6015625,84678.8515625,84774.6171875,0
